[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | INFO: Run ParseTemplate Behavior [ RunTime:0.013001s ]
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013001s ]
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | INFO: Tag[ view_filter ] --START--
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | INFO: Tag[ view_end ] --START--
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2015-06-04T16:00:30+08:00 ] /getwhere3.0/index.php/Index/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8] Use of undefined constant name - assumed 'name' IndexAction.class.php 第 8 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8] Use of undefined constant name_date - assumed 'name_date' IndexAction.class.php 第 8 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8] Use of undefined constant id - assumed 'id' IndexAction.class.php 第 8 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8] Use of undefined constant id_date - assumed 'id_date' IndexAction.class.php 第 8 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8] Use of undefined constant pwd - assumed 'pwd' IndexAction.class.php 第 8 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8] Use of undefined constant pwd_date - assumed 'pwd_date' IndexAction.class.php 第 8 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2015-06-04T16:00:41+08:00 ] /getwhere3.0/index.php/Index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
